currency,geo\time	2021S1 	2020S2 	2020S1 	2019S2 	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
NAC,LT	642.00 	607.00 	607.00 	555.00 	555.00 	400.00 	400.00 	380.00 	380.00 	380.00 	350.00 	325.00 	300.00 	289.62 	289.62 	289.62 	289.62 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	231.70 	202.73 	173.77 	173.77 	159.29 	159.29 	144.81 	144.81 	130.33 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 	124.54 
NAC,LU	2201.93 	2141.99 	2141.99 	2089.75 	2089.75 	1998.59 	1998.59 	1998.59 	1998.59 	1922.96 	1922.96 	1922.96 	1922.96 	1921.03 	1921.03 	1874.19 	1874.19 	1801.49 	1801.49 	1757.56 	1757.56 	1724.81 	1682.76 	1682.76 	1641.74 	1609.53 	1570.28 	1570.28 	1570.28 	1503.42 	1503.42 	1466.77 	1466.77 	1402.96 	1402.96 	1368.74 	1368.74 	1322.47 	1290.21 	1290.21 	1258.75 	1220.88 	1191.13 	1162.08 	1162.08 
NAC,LV	500.00 	430.00 	430.00 	430.00 	430.00 	430.00 	430.00 	380.00 	380.00 	370.00 	370.00 	360.00 	360.00 	320.00 	320.00 	284.57 	284.57 	284.57 	284.57 	284.57 	284.57 	256.12 	256.12 	256.12 	256.12 	227.66 	227.66 	170.74 	170.74 	128.06 	128.06 	113.83 	113.83 	113.83 	113.83 	99.60 	99.60 	85.37 	85.37 	85.37 	71.14 	71.14 	71.14 	71.14 	71.14 
NAC,ME	331.33 	331.33 	331.33 	331.33 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	288.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MK	: 	: 	: 	: 	: 	17370.00 	17131.00 	17130.00 	14810.00 	14563.00 	13986.00 	13986.00 	13140.00 	13140.00 	13140.00 	12268.00 	12268.00 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,MT	784.68 	777.10 	777.10 	761.97 	761.97 	747.54 	747.54 	735.63 	735.63 	728.04 	728.04 	720.46 	720.46 	717.95 	717.95 	702.82 	702.82 	685.14 	685.14 	664.95 	664.95 	659.92 	659.92 	634.88 	634.88 	617.21 	617.21 	601.90 	601.90 	584.24 	584.24 	561.53 	561.53 	543.86 	543.86 	536.29 	536.29 	518.63 	518.63 	503.49 	503.49 	488.35 	488.35 	478.25 	478.25 
NAC,NL	1684.80 	1680.00 	1653.60 	1635.60 	1615.80 	1594.20 	1578.00 	1565.40 	1551.60 	1537.20 	1524.60 	1507.80 	1501.80 	1495.20 	1485.60 	1477.80 	1469.40 	1456.20 	1446.60 	1435.20 	1424.40 	1416.00 	1407.60 	1398.60 	1381.20 	1356.60 	1335.00 	1317.00 	1300.80 	1284.60 	1272.60 	1264.80 	1264.80 	1264.80 	1264.80 	1264.80 	1249.20 	1231.80 	1206.60 	1180.40 	1154.50 	1110.80 	1092.00 	1078.40 	1064.20 
NAC,NO	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,PL	2800.00 	2600.00 	2600.00 	2250.00 	2250.00 	2100.00 	2100.00 	2000.00 	2000.00 	1850.00 	1850.00 	1750.00 	1750.00 	1680.00 	1680.00 	1600.00 	1600.00 	1500.00 	1500.00 	1386.00 	1386.00 	1317.00 	1317.00 	1276.00 	1276.00 	1126.00 	1126.00 	936.00 	936.00 	899.00 	899.00 	849.00 	849.00 	824.00 	824.00 	800.00 	800.00 	760.00 	760.00 	760.00 	760.00 	700.00 	670.00 	650.00 	650.00 
NAC,PT	775.83 	740.83 	740.83 	700.00 	700.00 	676.67 	676.67 	649.83 	649.83 	618.33 	618.33 	589.17 	589.17 	565.83 	565.83 	565.83 	565.83 	565.83 	565.83 	565.83 	565.83 	554.17 	554.17 	525.00 	525.00 	497.00 	497.00 	470.17 	470.17 	449.98 	449.98 	437.15 	437.15 	425.95 	425.95 	416.03 	416.03 	406.01 	406.01 	389.89 	389.89 	371.27 	371.27 	356.72 	356.72 
NAC,RO	2230.00 	2230.00 	2230.00 	2080.00 	2080.00 	1900.00 	1900.00 	1450.00 	1250.00 	1250.00 	1050.00 	1050.00 	975.00 	900.00 	850.00 	800.00 	700.00 	700.00 	700.00 	670.00 	670.00 	600.00 	600.00 	600.00 	600.00 	500.00 	500.00 	390.00 	390.00 	330.00 	330.00 	310.00 	310.00 	280.00 	280.00 	250.00 	250.00 	175.00 	140.00 	140.00 	100.00 	70.00 	45.00 	45.00 	35.00 
NAC,RS	43044.00 	40502.00 	40502.00 	36365.00 	36408.00 	33355.21 	33813.12 	30586.31 	30612.84 	28378.89 	28403.28 	28403.28 	28430.53 	26941.23 	26975.75 	26975.75 	27205.93 	27205.93 	24066.76 	24066.76 	22458.66 	21217.57 	21323.02 	20578.37 	20643.08 	18409.13 	16510.70 	14897.29 	12796.01 	12519.82 	11753.30 	10475.77 	9837.00 	8942.73 	7920.70 	6740.32 	6241.03 	5616.93 	4608.38 	2932.00 	401.72 	471.38 	387.21 	387.21 	387.21 
NAC,SE	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,SI	1024.24 	940.58 	940.58 	886.63 	886.63 	842.79 	842.79 	804.96 	804.96 	790.73 	790.73 	790.73 	790.73 	789.15 	789.15 	783.66 	783.66 	763.06 	763.06 	748.10 	748.10 	734.15 	597.43 	589.19 	589.19 	566.50 	538.53 	521.80 	521.80 	511.60 	511.60 	490.32 	490.32 	465.21 	465.21 	432.49 	432.49 	395.07 	395.07 	352.27 	352.27 	321.36 	309.89 	284.69 	284.69 
NAC,SK	623.00 	580.00 	580.00 	520.00 	520.00 	480.00 	480.00 	435.00 	435.00 	405.00 	405.00 	380.00 	380.00 	352.00 	352.00 	337.70 	337.70 	327.00 	327.00 	317.00 	317.00 	307.70 	307.70 	295.50 	295.50 	268.87 	268.87 	252.27 	252.27 	229.04 	229.04 	215.76 	215.76 	201.82 	201.82 	184.89 	184.89 	163.31 	163.31 	146.05 	146.05 	132.78 	132.78 	119.50 	99.58 
NAC,TR	3577.50 	2943.00 	2943.00 	2558.40 	2558.40 	2029.50 	2029.50 	1777.50 	1777.50 	1647.00 	1647.00 	1273.50 	1201.50 	1134.00 	1071.00 	1021.50 	978.60 	940.50 	886.50 	837.00 	796.50 	760.50 	729.00 	693.40 	666.00 	638.70 	608.40 	585.00 	562.50 	531.00 	531.00 	488.70 	488.70 	444.15 	423.00 	306.00 	306.00 	250.88 	222.00 	167.90 	139.95 	118.80 	109.80 	93.60 	78.08 
NAC,UK	: 	1444.66 	1360.16 	1360.16 	1300.00 	1300.00 	1242.00 	1243.00 	1193.00 	1193.00 	1110.00 	1074.00 	1074.00 	1043.00 	1043.00 	1020.00 	1020.00 	1004.00 	1004.00 	978.00 	978.00 	956.00 	956.00 	948.00 	948.00 	911.00 	911.00 	883.00 	883.00 	831.00 	831.00 	800.00 	800.00 	743.00 	743.00 	692.00 	692.00 	675.00 	675.00 	610.00 	610.00 	592.00 	592.00 	592.00 	: z
NAC,US	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1256.67 	1135.33 	1135.33 	1014.00 	1014.00 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 	892.67 
PPS,AL	423.81 e	367.3 e	367.3 e	367.30 	367.30 	337.24 	337.24 	341.09 	312.67 	313.26 	313.26 	325.90 	325.90 	313.43 	313.43 	316.22 	301.85 	308.95 	294.24 	285.01 	270.76 	268.90 	254.75 	251.00 	237.05 	243.95 	229.60 	203.41 	203.41 	205.38 	173.11 	176.00 	161.09 	160.12 	149.15 	147.67 	137.98 	136.71 	110.24 	111.50 	102.97 	103.46 	94.29 	93.11 	84.65 
PPS,AT	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,BE	1411.83 e	1411.83 e	1384.12 e	1384.12 	1384.12 	1364.64 	1364.64 	1367.07 	1340.25 	1350.80 	1324.25 	1350.38 	1350.38 	1349.90 	1349.90 	1342.18 	1342.18 	1321.21 	1295.29 	1298.36 	1272.90 	1246.52 	1246.52 	1241.73 	1241.73 	1205.20 	1181.57 	1161.74 	1140.01 	1122.80 	1122.80 	1107.57 	1107.57 	1082.60 	1082.60 	1082.75 	1061.49 	1074.32 	1053.28 	1041.33 	1020.91 	1004.54 	1004.54 	969.51 	950.53 
PPS,BG	623.1 e	584.76 e	584.76 e	536.83 	536.83 	504.12 	504.12 	459.29 	459.29 	432.06 	432.06 	390.65 	370.09 	352.16 	352.16 	311.72 	311.72 	286.29 	266.55 	235.85 	235.85 	231.47 	231.47 	228.26 	228.26 	219.00 	219.00 	191.21 	191.21 	178.06 	178.06 	179.01 	179.01 	146.70 	146.70 	140.47 	140.47 	126.34 	126.34 	107.66 	100.06 	100.05 	89.38 	91.17 	83.00 
PPS,CH	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,CY	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,CZ	788.46 e	757.34 e	757.34 e	692.50 	692.50 	643.73 	643.73 	592.37 	592.37 	535.99 	535.99 	504.51 	504.51 	471.68 	471.68 	438.66 	438.66 	432.67 	432.67 	434.22 	434.22 	433.53 	433.53 	433.74 	433.74 	432.96 	432.96 	435.31 	435.31 	428.47 	407.73 	393.71 	393.71 	364.39 	364.39 	341.30 	341.30 	306.99 	306.99 	278.59 	278.59 	247.30 	219.82 	199.86 	180.43 
PPS,DE	1503.59 e	1475.64 e	1475.64 e	1450.49 	1450.49 	1412.51 	1412.51 	1405.65 	1405.65 	1343.75 	1343.75 	1345.20 	1345.20 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,DK	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,EE	684.450 e	684.450 e	684.450 e	632.89 	632.89 	599.29 	599.29 	581.11 	581.11 	545.44 	545.44 	503.06 	503.06 	458.08 	458.08 	416.54 	416.54 	384.25 	384.25 	374.65 	374.65 	380.69 	380.69 	375.12 	375.12 	367.94 	367.94 	313.82 	313.82 	275.13 	275.13 	262.32 	262.32 	247.52 	247.52 	220.37 	220.37 	188.81 	188.81 	161.91 	161.91 	148.94 	148.94 	133.15 	133.15 
PPS,EL	878.68 e	878.68 e	878.68 e	878.68 	792.27 	789.39 	789.39 	786.54 	786.54 	779.47 	779.47 	775.07 	775.07 	770.44 	770.44 	739.58 	739.58 	710.98 	911.51 	898.52 	884.38 	884.27 	884.27 	904.86 	857.68 	855.38 	855.38 	825.19 	785.14 	787.05 	787.05 	744.57 	744.57 	712.92 	712.92 	699.70 	699.70 	688.06 	675.90 	644.14 	634.62 	612.66 	603.61 	590.18 	582.03 
PPS,ES	1151.020 e	1151.020 e	1151.020 e	1090.45 	1090.45 	890.04 	890.04 	871.28 	871.28 	801.27 	801.27 	797.6 e	797.6 e	781.87 	781.87 	772.87 	772.87 	754.59 	754.59 	748.77 	748.77 	741.21 	741.21 	734.56 	734.56 	721.93 	721.93 	690.42 	690.42 	669.70 	669.70 	637.16 	637.16 	610.71 	573.01 	577.02 	577.02 	575.24 	575.24 	559.04 	559.04 	546.53 	546.53 	534.96 	534.96 
PPS,FI	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,FR	1370.33 e	1356.96 e	1356.96 e	1340.92 	1340.92 	1316.90 	1316.90 	1309.29 	1309.29 	1303.71 	1303.71 	1300.63 	1300.63 	1299.81 	1299.81 	1293.25 	1293.25 	1274.41 	1250.01 	1225.01 	1225.01 	1202.93 	1202.93 	1190.20 	1175.36 	1181.23 	1144.62 	1158.49 	1135.15 	1134.62 	1101.70 	1108.22 	1170.29 	1146.85 	1083.56 	1094.09 	1039.31 	1072.58 	1047.46 	1044.85 	1004.12 	981.69 	951.06 	925.99 	914.06 
PPS,HR	805.09 e	769.57 e	769.57 e	710.37 	710.37 	657.63 	657.63 	633.81 	633.81 	603.94 	603.94 	586.72 	586.72 	577.13 	577.13 	562.27 	530.10 	526.63 	526.63 	519.50 	519.50 	516.25 	516.25 	511.57 	499.39 	507.25 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,HU	740.96 e	740.96 e	740.96 e	685.73 	685.73 	656.31 	656.31 	625.43 	625.43 	570.82 	570.82 	551.85 	551.85 	545.38 	545.38 	540.29 	540.29 	513.76 	513.76 	442.69 	442.69 	412.85 	412.85 	400.70 	400.70 	390.68 	390.68 	373.40 	373.40 	375.27 	375.27 	350.32 	350.32 	330.30 	330.30 	328.26 	328.26 	337.21 	337.21 	279.44 	279.44 	188.74 	188.74 	176.53 	176.53 
PPS,IE	1272.810 e	1260.330 e	1222.89 e	1222.89 	1222.89 	1203.16 	1203.16 	1188.09 	1188.09 	1194.81 	1194.81 	1138.54 	1138.54 	1141.86 	1141.86 	1177.92 	1177.92 	1200.07 	1200.07 	1206.96 	1206.96 	1215.94 	1215.94 	1161.18 	1161.18 	1127.78 	1127.78 	1149.50 	1102.99 	1020.43 	1020.43 	1023.55 	936.58 	932.55 	845.96 	841.41 	841.41 	791.11 	791.11 	826.04 	773.46 	796.40 	: z	: z	: z
PPS,IS	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,IT	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,LT	935.88 e	884.86 e	884.86 e	809.05 	809.05 	593.33 	593.33 	575.13 	575.13 	583.25 	537.20 	506.57 	467.60 	447.80 	447.80 	447.18 	447.18 	353.81 	353.81 	354.69 	354.69 	360.47 	360.47 	350.05 	350.05 	351.46 	351.46 	328.54 	281.60 	294.21 	269.69 	284.85 	258.95 	267.48 	240.74 	233.26 	233.26 	219.86 	219.86 	213.12 	213.12 	210.45 	210.45 	206.39 	206.39 
PPS,LU	1668.43 e	1623.01 e	1623.01 e	1583.43 	1583.43 	1537.00 	1537.00 	1551.52 	1551.52 	1502.78 	1502.78 	1531.41 	1531.41 	1525.73 	1525.73 	1512.68 	1512.68 	1464.85 	1464.85 	1436.55 	1436.55 	1417.15 	1382.60 	1406.24 	1371.96 	1389.65 	1355.76 	1357.47 	1357.47 	1331.90 	1331.90 	1287.57 	1287.57 	1221.77 	1221.77 	1223.51 	1223.51 	1177.50 	1148.77 	1137.81 	1110.07 	1095.46 	1068.77 	1039.97 	1039.97 
PPS,LV	642.3 e	552.37 e	552.37 e	552.37 	552.37 	561.01 	561.01 	507.02 	507.02 	496.60 	496.60 	492.01 	492.01 	434.14 	434.14 	392.69 	392.69 	388.46 	388.46 	390.11 	390.11 	363.50 	363.50 	339.14 	339.14 	293.83 	293.83 	238.62 	238.62 	197.45 	197.45 	195.42 	195.42 	210.17 	210.17 	194.85 	194.85 	174.24 	174.24 	178.99 	149.16 	146.11 	146.11 	145.26 	145.26 
PPS,ME	581.22 e	581.22 e	581.22 e	581.22 	505.30 	501.94 	501.94 	506.32 	506.32 	514.46 	514.46 	512.67 	512.67 	506.85 	506.85 	501.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MK	: 	: 	: 	: 	: 	566.72 	558.92 	570.27 	493.03 	492.86 	473.33 	471.78 	443.24 	440.87 	440.87 	407.04 	407.04 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,MT	906.22 e	897.47 e	897.47 e	879.99 	879.99 	867.52 	867.52 	852.25 	852.25 	860.47 	860.47 	858.24 	858.24 	854.81 	854.81 	839.18 	839.18 	842.15 	842.15 	824.44 	824.44 	829.98 	829.98 	786.84 	786.84 	777.91 	777.91 	769.03 	769.03 	743.60 	743.60 	741.90 	741.90 	719.56 	719.56 	714.32 	714.32 	664.13 	664.13 	652.77 	652.77 	642.02 	642.02 	631.59 	631.59 
PPS,NL	1444.28 e	1440.17 e	1417.54 e	1402.11 	1385.13 	1395.89 	1381.70 	1363.46 	1351.44 	1326.02 	1315.15 	1320.52 	1315.27 	1310.74 	1302.32 	1318.38 	1310.89 	1307.26 	1298.65 	1293.77 	1284.03 	1291.11 	1283.45 	1295.38 	1279.27 	1292.75 	1272.17 	1260.43 	1244.93 	1211.57 	1200.25 	1182.71 	1182.71 	1167.99 	1167.99 	1147.21 	1133.06 	1149.71 	1126.19 	1102.51 	1078.32 	1058.42 	1040.51 	1008.69 	995.41 
PPS,NO	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,PL	1084.27 e	1006.82 e	1006.82 e	871.29 	871.29 	827.68 	827.68 	799.24 	799.24 	757.70 	757.70 	725.72 	725.72 	690.94 	690.94 	665.27 	665.27 	622.99 	622.99 	571.77 	571.77 	542.67 	542.67 	508.89 	508.89 	464.40 	464.40 	387.73 	387.73 	361.08 	361.08 	338.98 	338.98 	338.85 	338.85 	335.75 	335.75 	315.41 	315.41 	313.70 	313.70 	293.01 	280.45 	289.78 	289.78 
PPS,PT	885.94 e	845.97 e	845.97 e	799.35 	799.35 	768.11 	768.11 	730.46 	730.46 	707.63 	707.63 	681.13 	681.13 	655.39 	655.39 	662.70 	662.70 	650.31 	650.31 	645.92 	645.92 	635.97 	635.97 	601.07 	601.07 	575.26 	575.26 	549.13 	549.13 	541.24 	541.24 	524.82 	524.82 	500.94 	500.94 	492.92 	492.92 	473.36 	473.36 	466.01 	466.01 	449.84 	449.84 	433.14 	433.14 
PPS,RO	850.6 e	850.6 e	850.6 e	793.39 	793.39 	732.51 	732.51 	579.63 	499.68 	517.30 	434.53 	428.27 	397.68 	368.27 	347.81 	330.63 	289.30 	296.17 	296.17 	287.27 	287.27 	260.45 	260.45 	257.97 	257.97 	224.03 	224.03 	183.80 	183.80 	163.33 	163.33 	159.60 	159.60 	162.97 	162.97 	155.28 	155.28 	129.73 	103.78 	126.16 	90.12 	80.94 	52.03 	72.26 	56.20 
PPS,RS	645.9 e	607.76 e	607.76 e	545.68 	546.32 	506.40 	513.35 	468.69 	469.10 	447.54 	447.93 	457.93 	458.37 	436.03 	436.59 	440.73 	444.49 	470.12 	415.88 	431.84 	402.99 	401.30 	403.29 	408.05 	409.33 	396.52 	355.63 	333.73 	286.65 	294.75 	276.70 	265.98 	249.76 	251.34 	222.61 	204.84 	189.67 	182.04 	149.35 	107.45 	14.72 	32.18 	26.43 	: 	: 
PPS,SE	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,SI	1177.73 e	1081.53 e	1081.53 e	1019.50 	1019.50 	967.79 	967.79 	929.89 	929.89 	909.22 	909.22 	919.12 	919.12 	915.65 	915.65 	916.65 	916.65 	892.28 	892.28 	869.71 	869.71 	844.34 	687.10 	671.37 	671.37 	682.69 	648.99 	639.57 	639.57 	644.05 	644.05 	625.79 	625.79 	598.60 	598.60 	566.73 	566.73 	534.55 	534.55 	498.73 	498.73 	484.59 	467.29 	449.30 	449.30 
PPS,SK	721.28 e	671.49 e	671.49 e	602.03 	602.03 	569.94 	569.94 	527.78 	527.78 	519.32 	519.32 	537.62 	537.62 	499.25 	499.25 	478.12 	478.12 	455.03 	455.03 	444.60 	444.60 	435.21 	435.21 	401.92 	401.92 	365.60 	365.60 	338.32 	338.32 	307.30 	307.30 	296.88 	296.88 	272.89 	272.89 	261.31 	261.31 	248.05 	248.05 	225.38 	225.38 	202.59 	202.59 	191.81 	159.84 
PPS,TR	1191.09 e	979.84 e	979.84 e	851.79 	851.79 	776.05 	776.05 	780.51 	780.51 	797.52 	797.52 	685.41 	646.66 	640.07 	604.51 	613.07 	587.32 	605.69 	570.92 	577.41 	549.47 	548.10 	525.40 	516.41 	496.01 	499.46 	475.77 	464.48 	446.62 	437.87 	437.87 	427.38 	427.38 	411.89 	392.27 	307.39 	307.39 	321.05 	284.10 	303.65 	253.10 	306.50 	283.28 	360.90 	301.06 
PPS,UK	: 	1357.51 e	1278.11 e	1278.11 	1221.57 	1223.13 	1168.56 	1182.24 	1134.69 	1139.48 	1060.20 	1037.27 	1037.27 	1009.49 	1009.49 	1001.62 	1001.62 	1010.61 	1010.61 	996.25 	996.25 	987.45 	987.45 	978.96 	978.96 	987.27 	987.27 	975.47 	975.47 	930.38 	930.38 	886.68 	886.68 	841.58 	841.58 	770.29 	770.29 	743.54 	743.54 	681.63 	681.63 	645.45 	645.45 	624.43 	: z
PPS,US	879.83 e	879.83 e	879.83 e	879.83 	879.83 	878.99 	878.99 	940.28 	940.28 	951.30 	951.30 	979.74 	979.74 	974.06 	974.06 	984.08 	984.08 	999.74 	999.74 	1001.67 	1001.67 	1018.49 	1018.49 	925.54 	925.54 	848.05 	848.05 	756.77 	756.77 	755.28 	755.28 	761.18 	761.18 	757.18 	757.18 	762.98 	762.98 	747.28 	747.28 	748.90 	748.90 	751.82 	751.82 	754.88 	754.88 
